ts,Open,Close,High,Volume,Low
2025-12-11 09:00:00,1510.0,1510.0,1515.0,2590,1505.0
2025-12-11 09:01:00,1510.0,1510.0,1515.0,163,1505.0
2025-12-11 09:02:00,1505.0,1505.0,1510.0,100,1505.0
2025-12-11 09:03:00,1505.0,1505.0,1510.0,142,1505.0
2025-12-11 09:04:00,1505.0,1505.0,1510.0,91,1505.0
2025-12-11 09:05:00,1505.0,1505.0,1510.0,100,1505.0
2025-12-11 09:06:00,1505.0,1505.0,1510.0,493,1505.0
2025-12-11 09:07:00,1505.0,1505.0,1510.0,285,1505.0
2025-12-11 09:08:00,1505.0,1500.0,1510.0,567,1500.0
2025-12-11 09:09:00,1505.0,1505.0,1505.0,177,1500.0
2025-12-11 09:10:00,1505.0,1505.0,1505.0,35,1500.0
2025-12-11 09:11:00,1505.0,1505.0,1505.0,37,1500.0
2025-12-11 09:12:00,1505.0,1500.0,1505.0,40,1500.0
2025-12-11 09:13:00,1505.0,1500.0,1505.0,33,1500.0
2025-12-11 09:14:00,1505.0,1505.0,1505.0,132,1500.0
2025-12-11 09:15:00,1505.0,1505.0,1505.0,28,1505.0
2025-12-11 09:16:00,1505.0,1500.0,1505.0,34,1500.0
2025-12-11 09:17:00,1505.0,1505.0,1505.0,14,1500.0
2025-12-11 09:18:00,1505.0,1505.0,1505.0,5,1500.0
2025-12-11 09:19:00,1500.0,1505.0,1505.0,30,1500.0
2025-12-11 09:20:00,1505.0,1505.0,1505.0,195,1500.0
2025-12-11 09:21:00,1505.0,1505.0,1505.0,37,1505.0
2025-12-11 09:22:00,1505.0,1505.0,1510.0,212,1500.0
2025-12-11 09:23:00,1505.0,1505.0,1505.0,18,1505.0
2025-12-11 09:24:00,1505.0,1505.0,1505.0,42,1500.0
2025-12-11 09:25:00,1505.0,1505.0,1505.0,7,1500.0
2025-12-11 09:26:00,1505.0,1505.0,1505.0,14,1500.0
2025-12-11 09:27:00,1505.0,1500.0,1505.0,13,1500.0
2025-12-11 09:28:00,1505.0,1500.0,1505.0,136,1500.0
