ts,Open,Close,High,Volume,Amount,Low
2025-12-11 09:00:00,1510.0,1510.0,1515.0,2590,3910990000.0,1505.0
2025-12-11 09:01:00,1510.0,1510.0,1515.0,163,245890000.0,1505.0
2025-12-11 09:02:00,1505.0,1505.0,1510.0,100,150670000.0,1505.0
2025-12-11 09:03:00,1505.0,1505.0,1510.0,142,213770000.0,1505.0
2025-12-11 09:04:00,1505.0,1505.0,1510.0,91,137070000.0,1505.0
2025-12-11 09:05:00,1505.0,1505.0,1510.0,100,150570000.0,1505.0
2025-12-11 09:06:00,1505.0,1505.0,1510.0,493,742000000.0,1505.0
2025-12-11 09:07:00,1505.0,1505.0,1510.0,285,428975000.0,1505.0
2025-12-11 09:08:00,1505.0,1500.0,1510.0,567,853295000.0,1500.0
2025-12-11 09:09:00,1505.0,1505.0,1505.0,177,266335000.0,1500.0
2025-12-11 09:10:00,1505.0,1505.0,1505.0,35,52665000.0,1500.0
2025-12-11 09:11:00,1505.0,1505.0,1505.0,37,55675000.0,1500.0
2025-12-11 09:12:00,1505.0,1500.0,1505.0,40,60180000.0,1500.0
2025-12-11 09:13:00,1505.0,1500.0,1505.0,33,49595000.0,1500.0
2025-12-11 09:14:00,1505.0,1505.0,1505.0,132,198655000.0,1500.0
2025-12-11 09:15:00,1505.0,1505.0,1505.0,28,42140000.0,1505.0
2025-12-11 09:16:00,1505.0,1500.0,1505.0,34,51160000.0,1500.0
2025-12-11 09:17:00,1505.0,1505.0,1505.0,14,21060000.0,1500.0
2025-12-11 09:18:00,1505.0,1505.0,1505.0,5,7520000.0,1500.0
2025-12-11 09:19:00,1500.0,1505.0,1505.0,30,45135000.0,1500.0
2025-12-11 09:20:00,1505.0,1505.0,1505.0,195,293450000.0,1500.0
2025-12-11 09:21:00,1505.0,1505.0,1505.0,37,55685000.0,1505.0
2025-12-11 09:22:00,1505.0,1505.0,1510.0,212,319145000.0,1500.0
2025-12-11 09:23:00,1505.0,1505.0,1505.0,18,27090000.0,1505.0
2025-12-11 09:24:00,1505.0,1505.0,1505.0,42,63155000.0,1500.0
2025-12-11 09:25:00,1505.0,1505.0,1505.0,7,10520000.0,1500.0
2025-12-11 09:26:00,1505.0,1505.0,1505.0,14,21065000.0,1500.0
2025-12-11 09:27:00,1505.0,1500.0,1505.0,13,19550000.0,1500.0
2025-12-11 09:28:00,1505.0,1500.0,1505.0,136,204590000.0,1500.0
2025-12-11 09:29:00,1505.0,1500.0,1505.0,24,36090000.0,1500.0
2025-12-11 09:30:00,1505.0,1505.0,1505.0,18,27035000.0,1500.0
2025-12-11 09:31:00,1500.0,1505.0,1505.0,7,10520000.0,1500.0
2025-12-11 09:32:00,1500.0,1505.0,1505.0,51,76520000.0,1500.0
2025-12-11 09:33:00,1505.0,1500.0,1505.0,24,36055000.0,1500.0
2025-12-11 09:34:00,1505.0,1505.0,1505.0,39,58645000.0,1500.0
2025-12-11 09:35:00,1500.0,1505.0,1505.0,26,39050000.0,1500.0
2025-12-11 09:36:00,1505.0,1505.0,1505.0,48,72095000.0,1500.0
2025-12-11 09:37:00,1505.0,1500.0,1505.0,19,28550000.0,1500.0
2025-12-11 09:38:00,1500.0,1505.0,1505.0,21,31525000.0,1500.0
2025-12-11 09:39:00,1505.0,1500.0,1505.0,21,31535000.0,1500.0
2025-12-11 09:40:00,1500.0,1500.0,1505.0,32,48025000.0,1500.0
2025-12-11 09:41:00,1500.0,1500.0,1505.0,22,33015000.0,1500.0
2025-12-11 09:42:00,1500.0,1505.0,1505.0,13,19510000.0,1500.0
2025-12-11 09:43:00,1500.0,1500.0,1505.0,39,58555000.0,1500.0
2025-12-11 09:44:00,1500.0,1500.0,1505.0,81,121525000.0,1500.0
2025-12-11 09:45:00,1500.0,1500.0,1505.0,72,108145000.0,1500.0
2025-12-11 09:46:00,1500.0,1500.0,1500.0,22,33000000.0,1500.0
2025-12-11 09:47:00,1500.0,1500.0,1505.0,35,52570000.0,1500.0
2025-12-11 09:48:00,1500.0,1500.0,1505.0,92,138015000.0,1500.0
2025-12-11 09:49:00,1500.0,1495.0,1505.0,1166,1748620000.0,1495.0
2025-12-11 09:50:00,1495.0,1495.0,1500.0,180,269140000.0,1495.0
2025-12-11 09:51:00,1495.0,1500.0,1500.0,225,336465000.0,1495.0
2025-12-11 09:52:00,1495.0,1495.0,1495.0,133,198835000.0,1495.0
2025-12-11 09:53:00,1495.0,1495.0,1500.0,59,88210000.0,1495.0
2025-12-11 09:54:00,1495.0,1495.0,1495.0,108,161460000.0,1495.0
2025-12-11 09:55:00,1495.0,1495.0,1500.0,51,76255000.0,1495.0
2025-12-11 09:56:00,1495.0,1495.0,1495.0,239,357050000.0,1490.0
2025-12-11 09:57:00,1495.0,1490.0,1495.0,36,53705000.0,1490.0
2025-12-11 09:58:00,1490.0,1490.0,1495.0,14,20865000.0,1490.0
2025-12-11 09:59:00,1490.0,1495.0,1495.0,33,49265000.0,1490.0
2025-12-11 10:00:00,1495.0,1490.0,1495.0,52,77700000.0,1490.0
2025-12-11 10:01:00,1495.0,1490.0,1495.0,26,38840000.0,1490.0
2025-12-11 10:02:00,1490.0,1495.0,1495.0,204,304925000.0,1490.0
2025-12-11 10:03:00,1495.0,1495.0,1495.0,47,70175000.0,1490.0
2025-12-11 10:04:00,1490.0,1490.0,1495.0,15,22380000.0,1490.0
2025-12-11 10:05:00,1490.0,1490.0,1495.0,14,20880000.0,1490.0
2025-12-11 10:06:00,1495.0,1490.0,1495.0,17,25360000.0,1490.0
2025-12-11 10:07:00,1490.0,1490.0,1495.0,28,41735000.0,1490.0
2025-12-11 10:08:00,1490.0,1490.0,1495.0,34,50670000.0,1490.0
2025-12-11 10:09:00,1490.0,1490.0,1495.0,74,110275000.0,1490.0
2025-12-11 10:10:00,1490.0,1490.0,1495.0,298,444060000.0,1490.0
2025-12-11 10:11:00,1490.0,1490.0,1495.0,58,86435000.0,1490.0
2025-12-11 10:12:00,1490.0,1490.0,1495.0,74,110295000.0,1490.0
2025-12-11 10:13:00,1490.0,1490.0,1495.0,35,52205000.0,1490.0
2025-12-11 10:14:00,1490.0,1490.0,1495.0,49,73035000.0,1490.0
2025-12-11 10:15:00,1490.0,1490.0,1495.0,21,31310000.0,1490.0
2025-12-11 10:16:00,1490.0,1495.0,1495.0,34,50750000.0,1490.0
2025-12-11 10:17:00,1490.0,1490.0,1495.0,22,32790000.0,1490.0
2025-12-11 10:18:00,1490.0,1490.0,1495.0,187,278650000.0,1490.0
2025-12-11 10:19:00,1490.0,1490.0,1495.0,109,162415000.0,1490.0
2025-12-11 10:20:00,1490.0,1490.0,1495.0,355,529005000.0,1490.0
2025-12-11 10:21:00,1490.0,1490.0,1495.0,94,140065000.0,1490.0
2025-12-11 10:22:00,1490.0,1490.0,1495.0,20,29805000.0,1490.0
2025-12-11 10:23:00,1490.0,1490.0,1495.0,19,28315000.0,1490.0
2025-12-11 10:24:00,1490.0,1490.0,1490.0,28,41720000.0,1490.0
2025-12-11 10:25:00,1490.0,1490.0,1490.0,18,26820000.0,1490.0
2025-12-11 10:26:00,1490.0,1490.0,1495.0,32,47695000.0,1490.0
2025-12-11 10:27:00,1490.0,1490.0,1490.0,139,207110000.0,1490.0
2025-12-11 10:28:00,1490.0,1485.0,1490.0,143,212990000.0,1485.0
2025-12-11 10:29:00,1485.0,1485.0,1490.0,26,38670000.0,1485.0
2025-12-11 10:30:00,1485.0,1490.0,1490.0,39,58020000.0,1485.0
2025-12-11 10:31:00,1490.0,1485.0,1490.0,23,34190000.0,1485.0
2025-12-11 10:32:00,1485.0,1485.0,1490.0,28,41590000.0,1485.0
2025-12-11 10:33:00,1485.0,1490.0,1490.0,34,50530000.0,1485.0
2025-12-11 10:34:00,1485.0,1485.0,1490.0,20,29730000.0,1485.0
2025-12-11 10:35:00,1485.0,1490.0,1490.0,14,20820000.0,1485.0
2025-12-11 10:36:00,1490.0,1485.0,1490.0,38,56520000.0,1485.0
2025-12-11 10:37:00,1485.0,1485.0,1490.0,16,23770000.0,1485.0
2025-12-11 10:38:00,1485.0,1485.0,1490.0,123,182695000.0,1485.0
2025-12-11 10:39:00,1485.0,1485.0,1490.0,136,201965000.0,1485.0
2025-12-11 10:40:00,1485.0,1485.0,1490.0,517,767755000.0,1485.0
2025-12-11 10:41:00,1485.0,1485.0,1490.0,95,141085000.0,1485.0
2025-12-11 10:42:00,1485.0,1485.0,1490.0,274,406895000.0,1480.0
2025-12-11 10:43:00,1480.0,1485.0,1485.0,36,53400000.0,1480.0
2025-12-11 10:44:00,1485.0,1485.0,1485.0,219,325185000.0,1480.0
2025-12-11 10:45:00,1485.0,1485.0,1485.0,49,72730000.0,1480.0
2025-12-11 10:46:00,1485.0,1485.0,1485.0,69,102405000.0,1480.0
2025-12-11 10:47:00,1485.0,1480.0,1485.0,27,40055000.0,1480.0
2025-12-11 10:48:00,1480.0,1480.0,1485.0,10,14820000.0,1480.0
2025-12-11 10:49:00,1480.0,1480.0,1485.0,14,20730000.0,1480.0
2025-12-11 10:50:00,1485.0,1485.0,1485.0,23,34055000.0,1480.0
2025-12-11 10:51:00,1480.0,1485.0,1485.0,22,32570000.0,1480.0
2025-12-11 10:52:00,1480.0,1480.0,1485.0,31,45935000.0,1480.0
2025-12-11 10:53:00,1480.0,1480.0,1485.0,27,40025000.0,1480.0
2025-12-11 10:54:00,1480.0,1480.0,1485.0,20,29645000.0,1480.0
2025-12-11 10:55:00,1485.0,1485.0,1485.0,21,31130000.0,1480.0
2025-12-11 10:56:00,1485.0,1480.0,1485.0,24,35560000.0,1480.0
2025-12-11 10:57:00,1480.0,1480.0,1485.0,20,29630000.0,1480.0
2025-12-11 10:58:00,1485.0,1480.0,1485.0,70,103620000.0,1480.0
2025-12-11 10:59:00,1480.0,1485.0,1485.0,118,174700000.0,1480.0
2025-12-11 11:00:00,1485.0,1480.0,1485.0,34,50360000.0,1480.0
2025-12-11 11:01:00,1480.0,1480.0,1485.0,72,106595000.0,1480.0
2025-12-11 11:02:00,1480.0,1480.0,1485.0,278,411515000.0,1480.0
2025-12-11 11:03:00,1485.0,1480.0,1485.0,542,802215000.0,1480.0
2025-12-11 11:04:00,1480.0,1480.0,1480.0,363,537095000.0,1475.0
2025-12-11 11:05:00,1475.0,1475.0,1480.0,23,33980000.0,1475.0
2025-12-11 11:06:00,1475.0,1475.0,1480.0,41,60580000.0,1475.0
2025-12-11 11:07:00,1475.0,1475.0,1480.0,18,26565000.0,1475.0
2025-12-11 11:08:00,1475.0,1475.0,1480.0,196,289225000.0,1475.0
2025-12-11 11:09:00,1475.0,1475.0,1475.0,113,166675000.0,1475.0
2025-12-11 11:10:00,1475.0,1475.0,1480.0,91,134275000.0,1475.0
2025-12-11 11:11:00,1480.0,1475.0,1480.0,73,107690000.0,1475.0
2025-12-11 11:12:00,1475.0,1475.0,1480.0,41,60495000.0,1475.0
2025-12-11 11:13:00,1475.0,1475.0,1480.0,21,30990000.0,1475.0
2025-12-11 11:14:00,1475.0,1475.0,1480.0,88,129805000.0,1475.0
2025-12-11 11:15:00,1475.0,1475.0,1480.0,24,35405000.0,1475.0
2025-12-11 11:16:00,1475.0,1475.0,1480.0,23,33930000.0,1475.0
2025-12-11 11:17:00,1475.0,1475.0,1480.0,145,213890000.0,1475.0
2025-12-11 11:18:00,1475.0,1470.0,1480.0,309,455750000.0,1470.0
2025-12-11 11:19:00,1475.0,1475.0,1475.0,48,70720000.0,1470.0
2025-12-11 11:20:00,1470.0,1475.0,1475.0,31,45650000.0,1470.0
2025-12-11 11:21:00,1475.0,1475.0,1475.0,38,56000000.0,1470.0
2025-12-11 11:22:00,1470.0,1475.0,1475.0,141,207925000.0,1470.0
2025-12-11 11:23:00,1475.0,1475.0,1480.0,364,536920000.0,1470.0
2025-12-11 11:24:00,1475.0,1475.0,1480.0,15,22145000.0,1475.0
2025-12-11 11:25:00,1475.0,1475.0,1480.0,20,29505000.0,1475.0
2025-12-11 11:26:00,1475.0,1475.0,1475.0,13,19175000.0,1475.0
2025-12-11 11:27:00,1475.0,1475.0,1480.0,37,54705000.0,1475.0
2025-12-11 11:28:00,1475.0,1475.0,1480.0,16,23605000.0,1475.0
2025-12-11 11:29:00,1475.0,1475.0,1480.0,31,45755000.0,1475.0
2025-12-11 11:30:00,1480.0,1475.0,1480.0,146,215390000.0,1475.0
2025-12-11 11:31:00,1475.0,1475.0,1475.0,258,380550000.0,1475.0
2025-12-11 11:32:00,1475.0,1475.0,1480.0,137,202080000.0,1475.0
2025-12-11 11:33:00,1475.0,1470.0,1475.0,87,128275000.0,1470.0
2025-12-11 11:34:00,1470.0,1470.0,1475.0,51,75070000.0,1470.0
2025-12-11 11:35:00,1470.0,1470.0,1475.0,42,61875000.0,1470.0
2025-12-11 11:36:00,1470.0,1470.0,1475.0,32,47120000.0,1470.0
2025-12-11 11:37:00,1475.0,1470.0,1475.0,36,52980000.0,1470.0
2025-12-11 11:38:00,1470.0,1475.0,1475.0,33,48535000.0,1470.0
2025-12-11 11:39:00,1470.0,1475.0,1475.0,36,52995000.0,1470.0
2025-12-11 11:40:00,1470.0,1470.0,1475.0,24,35305000.0,1470.0
2025-12-11 11:41:00,1470.0,1470.0,1475.0,27,39710000.0,1470.0
2025-12-11 11:42:00,1470.0,1470.0,1475.0,29,42660000.0,1470.0
2025-12-11 11:43:00,1470.0,1470.0,1475.0,38,55910000.0,1470.0
2025-12-11 11:44:00,1470.0,1470.0,1475.0,48,70660000.0,1470.0
2025-12-11 11:45:00,1475.0,1470.0,1475.0,572,840925000.0,1470.0
2025-12-11 11:46:00,1470.0,1470.0,1475.0,298,438155000.0,1470.0
2025-12-11 11:47:00,1470.0,1470.0,1475.0,32,47070000.0,1470.0
2025-12-11 11:48:00,1470.0,1470.0,1475.0,77,113195000.0,1470.0
2025-12-11 11:49:00,1470.0,1470.0,1475.0,37,54425000.0,1470.0
2025-12-11 11:50:00,1475.0,1470.0,1475.0,26,38255000.0,1470.0
2025-12-11 11:51:00,1475.0,1470.0,1475.0,42,61780000.0,1470.0
2025-12-11 11:52:00,1470.0,1470.0,1475.0,35,51515000.0,1470.0
2025-12-11 11:53:00,1470.0,1470.0,1475.0,30,44135000.0,1470.0
2025-12-11 11:54:00,1470.0,1470.0,1475.0,42,61775000.0,1470.0
2025-12-11 11:55:00,1470.0,1475.0,1475.0,33,48565000.0,1470.0
2025-12-11 11:56:00,1470.0,1470.0,1475.0,28,41195000.0,1470.0
2025-12-11 11:57:00,1475.0,1470.0,1475.0,51,75005000.0,1470.0
2025-12-11 11:58:00,1475.0,1475.0,1475.0,24,35325000.0,1470.0
2025-12-11 11:59:00,1470.0,1470.0,1475.0,29,42670000.0,1470.0
2025-12-11 12:00:00,1470.0,1470.0,1475.0,43,63315000.0,1470.0
2025-12-11 12:01:00,1470.0,1470.0,1475.0,35,51515000.0,1470.0
2025-12-11 12:02:00,1475.0,1475.0,1475.0,29,42705000.0,1470.0
2025-12-11 12:03:00,1470.0,1470.0,1475.0,31,45610000.0,1470.0
2025-12-11 12:04:00,1470.0,1470.0,1475.0,40,58850000.0,1470.0
